title,date,location,link,lat,lon
"Donald J. Trump: Remarks at the Southeastern Livestock Pavilion in Ocala, Florida",12-Oct-16,"Ocala, Florida",http://www.presidency.ucsb.edu/ws/index.php?pid=123517,29.187199,-82.140092
"Donald J. Trump: Remarks at the Charlotte Convention Center in Charlotte, North Carolina",18-Aug-16,"Charlotte, North Carolina",http://www.presidency.ucsb.edu/ws/index.php?pid=119175,35.223079,-80.846097
"Donald J. Trump: Remarks at Radisson Armory in Manchester, New Hampshire",28-Oct-16,"Manchester, New Hampshire",http://www.presidency.ucsb.edu/ws/index.php?pid=123519,42.99564,-71.454789
"Donald J. Trump: Remarks at the Shale Insight TM Conferencee at the David L. Lawrence Convention Center in Pittsburgh, Pennsylvania",22-Sep-16,"Pittsburgh, Pennsylvania",http://www.presidency.ucsb.edu/ws/index.php?pid=119191,40.440625,-79.995886
"Donald J. Trump: Remarks at Seven Flags Event Center in Des Moines, Iowa",13-Sep-16,"Des Moines, Iowa",http://www.presidency.ucsb.edu/ws/index.php?pid=119206,41.600545,-93.609106
"Donald J. Trump: Remarks at the Remembrance Project Luncheon at the Omni Houston Hotel at Westside in Houston, Texas",17-Sep-16,"Houston, Texas",http://www.presidency.ucsb.edu/ws/index.php?pid=119207,29.760427,-95.369803
"Donald J. Trump: Remarks to the 11th Annual Values Voter Summit in Washington, DC Omni Shoreham Hotel, Washington, D.C.",9-Sep-16,"Washington, DC Omni Shoreham Hotel, Washington, D.C",http://www.presidency.ucsb.edu/ws/index.php?pid=119194,38.922397,-77.053266
"Donald J. Trump: Remarks at a Rally at Waukesha County Expo Center in Waukesha, Wisconsin",28-Sep-16,"Waukesha, Wisconsin",http://www.presidency.ucsb.edu/ws/index.php?pid=119201,43.011678,-88.231481
"Donald J. Trump: Remarks to the American Legion in Cincinnati, Ohio",1-Sep-16,"Cincinnati, Ohio",http://www.presidency.ucsb.edu/ws/index.php?pid=119196,39.099814,-84.369114
"Donald J. Trump: Remarks at a Rally at Berglund Center in Roanoke, Virginia",24-Sep-16,"Roanoke, Virginia",http://www.presidency.ucsb.edu/ws/index.php?pid=119203,37.27097,-79.941427
"Donald J. Trump: Remarks at a Rally at the Pensacola Bay Center in Pensacola, Florida",9-Sep-16,"Pensacola, Florida",http://www.presidency.ucsb.edu/ws/index.php?pid=119204,30.421309,-87.216915
"Donald J. Trump: Address Accepting the Presidential Nomination at the Republican National Convention in Cleveland, Ohio",21-Jul-16,"Cleveland, Ohio",http://www.presidency.ucsb.edu/ws/index.php?pid=117935,41.49932,-81.694361
"Donald J. Trump: Remarks on Proposals for the First 100 Days in Office at the Eisenhower Complex in Gettysburg, Pennsylvania",22-Oct-16,"Office at the Eisenhower Complex in Gettysburg, Pennsylvania",http://www.presidency.ucsb.edu/ws/index.php?pid=119875,39.765822,-77.269609
"Donald J. Trump: Remarks at the Newtown Athletic Club Sports Training Center in Newtown, Pennsylvania",21-Oct-16,"Newtown, Pennsylvania",http://www.presidency.ucsb.edu/ws/index.php?pid=119186,40.228337,-74.93226
"Donald J. Trump: Remarks on Foreign Policy at the National Press Club in Washington, DC",27-Apr-16,"Washington, DC",http://www.presidency.ucsb.edu/ws/index.php?pid=117813,38.897121,-77.031565
"Donald J. Trump: Remarks at the Champions Center Expo in Springfield, Ohio",27-Oct-16,"Springfield, Ohio",http://www.presidency.ucsb.edu/ws/index.php?pid=123518,39.924227,-83.808817
"Donald J. Trump: Remarks at the Collier County Fairgrounds in Naples, Florida",23-Oct-16,"Naples, Florida",http://www.presidency.ucsb.edu/ws/index.php?pid=119187,26.142036,-81.79481
"Donald J. Trump: Remarks at High Point University in High Point, North Carolina",20-Sep-16,"High Point, North Carolina",http://www.presidency.ucsb.edu/ws/index.php?pid=119192,35.955692,-80.005318
"Donald J. Trump: Remarks in Virginia Beach, Virginia",11-Jul-16,"Virginia Beach, Virginia",http://www.presidency.ucsb.edu/ws/index.php?pid=117815,36.852926,-75.977985
