"","sentiment","fre_score","word_count","ISIS_prop","economy_prop","healthcare_prop","Immigration_trade_prop","Washington_prop","trump_over_romney"
"23",0.658536585365854,10.8994064417367,1326,0.000754147812971342,0.00377073906485671,0.00150829562594268,0.00452488687782805,0,0.04
"24",0.648,5.25740320394332,1904,0,0.00262605042016807,0,0.00157563025210084,0,0.03
"25",0.0655737704918033,10.776258994384,2215,0.0018058690744921,0.00316027088036117,0.00135440180586907,0.00225733634311512,0.0130925507900677,0.01
"26",0.0333333333333333,10.9873954083496,2540,0.0031496062992126,0.00354330708661417,0.00078740157480315,0.00236220472440945,0.0118110236220472,0.02
"27",-0.0365853658536585,9.81964566344064,2934,0.00374914792092706,0.00238582140422631,0,0.000340831629175187,0.00749829584185412,0.04
"28",0.145888594164456,9.56233826586768,2748,0.00218340611353712,0.00436681222707424,0.000363901018922853,0.00655021834061135,0.0192867540029112,-0.03
"29",-0.05,6.86328560847699,7102,0.00225288651084202,0.00436496761475641,0.00126724866234863,0.00070402703463813,0.00549141087017741,0
"30",0.0413223140495868,10.1369442431589,1678,0.00238379022646007,0.00178784266984505,0,0.00178784266984505,0.0160905840286055,-0.01
"31",0.0782608695652174,10.1607039199333,1898,0,0.00421496311907271,0.00263435194942044,0.00263435194942044,0.0126448893572181,0.01
"32",0.317073170731707,11.7160818826439,1577,0,0.00887761572606214,0.00126823081800888,0.000634115409004439,0,0.02
"33",-0.2,11.3545353023994,1974,0.00202634245187437,0.00911854103343465,0.00405268490374873,0.00303951367781155,0.00861195542046606,0.06
"34",-0.225806451612903,10.1697466564016,1847,0.00108283703302653,0.00866269626421224,0.00324851109907959,0.00866269626421224,0.00649702219815918,0.04
"35",0.132867132867133,11.0380629340851,3297,0,0.0197148923263573,0.00151653017895056,0.00606612071580224,0.00545950864422202,0.02
"36",-0.0188679245283019,11.1261574180674,1671,0.00119688809096349,0.00598444045481747,0.00359066427289048,0.00598444045481747,0.00418910831837223,0
"37",-0.421052631578947,10.4733551045227,1403,0,0.000712758374910905,0.000712758374910905,0.00712758374910905,0.00570206699928724,-0.0399999999999999
"38",-0.20863309352518,11.252869088812,1918,0.00886339937434828,0.00521376433785193,0.00156412930135558,0.00521376433785193,0.0156412930135558,0.01
"39",0.138888888888889,9.48889483535123,2783,0,0.00610851598993891,0.00431189363995688,0.00215594681997844,0.00467121810995329,0.02
"40",0.214814814814815,12.9419442508711,2281,0.000876808417360807,0.0140289346777729,0,0.000876808417360807,0.00438404208680403,0.02
"41",0.00869565217391304,9.28012902836209,2367,0,0.00718208702999578,0.00253485424588086,0.00380228136882129,0.00591465990705534,-0.02
"42",-0.0485436893203883,9.54173100389544,2157,0.000927213722763097,0.00417246175243394,0.00231803430690774,0.00278164116828929,0.0190078813166435,0.06
"43",-0.153846153846154,9.2707484652258,2256,0.00177304964539007,0.0048758865248227,0.00221631205673759,0.00132978723404255,0.0164007092198582,0.02
"44",-0.04,9.29390518258389,1947,0,0.0061633281972265,0.00205444273240883,0.00462249614791988,0.0169491525423729,0.00999999999999995
"45",-0.0757575757575758,9.55563272961098,2664,0,0.00788288288288288,0.0015015015015015,0.00487987987987988,0.0217717717717718,0.03
"46",-0.021978021978022,15.2276753793,1019,0.00196270853778214,0,0,0.00098135426889107,0.00196270853778214,-0.02
"47",0.0588235294117647,10.527956605674,3308,0,0.0108827085852479,0.00151148730350665,0.00574365175332527,0.0105804111245466,-0.02
"48",-0.182389937106918,9.76089799844544,2935,0.00136286201022147,0.00749574105621806,0.00442930153321976,0.00579216354344123,0.010221465076661,-0.04
"49",-0.0728476821192053,10.1614664010421,2828,0.00141442715700141,0.00777934936350778,0.00424328147100424,0.00707213578500707,0.012022630834512,0
"50",0.00970873786407767,10.4250008115566,2272,0,0.00660211267605634,0.00484154929577465,0.00660211267605634,0.011443661971831,0
"51",-0.148148148148148,10.1371735791091,1212,0,0.000825082508250825,0.00165016501650165,0.0033003300330033,0.0280528052805281,0
"52",0.0948616600790514,6.18213453904178,10040,0.00109561752988048,0.00219123505976096,0.00119521912350598,0.00278884462151394,0.00737051792828685,0
"53",-0.193717277486911,11.1402111112812,1719,0.00058173356602676,0.00930773705642816,0.00058173356602676,0,0.0087260034904014,0
"54",-0.00900900900900901,10.4376511295575,2839,0.000352236703064459,0.00105671010919338,0.000704473406128919,0.0017611835153223,0.0095103909827404,0.04
"55",-0.119453924914676,6.71539612896756,5821,0.000343583576705034,0.0041230029204604,0.0010307507301151,0.00429479470881292,0.00549733722728054,-0.02
"56",-0.092436974789916,10.4296238244514,2170,0,0.00967741935483871,0.000921658986175115,0.00506912442396313,0.00783410138248848,0.04
"57",-0.125,10.4813664596273,1764,0,0.00736961451247166,0.00170068027210884,0.00566893424036281,0.00510204081632653,0.01
"58",0.0297029702970297,10.3162549228901,1759,0,0.0113700966458215,0.00113700966458215,0.00682205798749289,0.00682205798749289,0.02
"59",0.0276679841897233,9.00939300196889,5159,0.000581508044194611,0.00736576855979841,0.00290754022097306,0.00600891645667765,0.00348904826516767,0.02
"60",-0.0625,11.3057999146758,1916,0.00260960334029228,0.00574112734864301,0.00313152400835073,0.00313152400835073,0.0120041753653445,0
"61",-0.152941176470588,10.2924192244816,2667,0.00187476565429321,0.00937382827146607,0.00224971878515186,0.00562429696287964,0.00412448443944507,0.01
"62",0.0827067669172932,7.6147526205693,4703,0.00467786519243036,0.00489049542844993,0.00382734424835212,0.00489049542844993,0.0104188815649585,0.04
"63",0.219672131147541,7.7315535156572,6258,0.00127836369447108,0.00383509108341323,0.00287631831255992,0.00399488654522212,0.00655161393416427,0.00999999999999995
"64",-0.478260869565217,11.1812700534759,824,0,0,0,0.00121359223300971,0.0121359223300971,-0.02
"65",-0.3,11.5194815351591,2213,0.00180750112968821,0.00542250338906462,0.00632625395390872,0.00361500225937641,0.00858563036601898,-0.04
"66",-0.163120567375887,9.41046087696892,2596,0.00115562403697997,0.0088597842835131,0.00269645608628659,0.0088597842835131,0.0157935285053929,0.03
"67",0.49685534591195,9.51158718335827,2788,0,0.00538020086083214,0.0104017216642755,0.00179340028694405,0.00322812051649928,0.02
"68",0.0354223433242507,7.87676683937824,5779,0.00155736286554767,0.00276864509430697,0.00276864509430697,0.00380688700467209,0.00934417719328604,0
"69",0.138211382113821,6.37911939818685,4538,0.000881445570736007,0.00352578228294403,0.00176289114147201,0.00330542089026003,0.00771264874394006,0
"70",0.244332493702771,4.68908799214399,7489,0.0008011750567499,0.00267058352249967,0.00120176258512485,0.00347175857924957,0.0072105755107491,0.01
"71",0.696428571428571,6.44714805342427,1942,0,0.00102986611740474,0,0.000514933058702369,0.000514933058702369,0.02
